time,open,high,low,close
1528880400,1.17511,1.17511,1.17301,1.17397
1528884000,1.17397,1.17537,1.17394,1.17462
1528887600,1.17462,1.17498,1.17329,1.17438
1528891200,1.17438,1.17621,1.17391,1.17548
1528894800,1.17548,1.17703,1.17529,1.17621
1528898400,1.17621,1.17661,1.17509,1.17557
1528902000,1.17557,1.17758,1.17552,1.17743
1528905600,1.17743,1.17819,1.17664,1.17676
1528909200,1.17676,1.17810,1.17676,1.17715
1528912800,1.17717,1.17882,1.17695,1.17829
1528916400,1.17829,1.17920,1.17815,1.17906
1528920000,1.17906,1.17927,1.17835,1.17869
1528923600,1.17869,1.17869,1.17249,1.17722
1528927200,1.17722,1.18008,1.17720,1.17901
1528930800,1.17900,1.17937,1.17856,1.17912
1528934400,1.17908,1.17939,1.17871,1.17936
1528938000,1.17936,1.18026,1.17915,1.17990
1528941600,1.17990,1.18048,1.17953,1.18032
1528945200,1.18032,1.18037,1.17921,1.17955
1528948800,1.17955,1.18005,1.17899,1.17976
1528952400,1.17976,1.17987,1.17896,1.17981
1528956000,1.17982,1.18026,1.17949,1.18013
1528959600,1.18014,1.18059,1.18008,1.18040
1528963200,1.18039,1.18109,1.18000,1.18029
1528966800,1.18029,1.18166,1.17976,1.18143
1528970400,1.18143,1.18196,1.18071,1.18177
1528974000,1.18177,1.18275,1.18131,1.18257
1528977600,1.18256,1.18260,1.18142,1.18245
1528981200,1.18245,1.18310,1.18202,1.18245
1528984800,1.18246,1.18519,1.17385,1.17385
1528988400,1.17385,1.17439,1.16845,1.16884
1528992000,1.16884,1.16884,1.16518,1.16519
1528995600,1.16519,1.16585,1.16189,1.16515
1528999200,1.16514,1.16524,1.16284,1.16321
1529002800,1.16321,1.16472,1.16182,1.16335
1529006400,1.16335,1.16409,1.16010,1.16047
1529010000,1.16047,1.16089,1.15900,1.15915
1529013600,1.15914,1.16002,1.15844,1.15858
1529017200,1.15858,1.15908,1.15628,1.15659
1529020800,1.15680,1.15748,1.15642,1.15748
1529024400,1.15748,1.15846,1.15745,1.15834
1529028000,1.15834,1.15842,1.15606,1.15630
1529031600,1.15628,1.15681,1.15550,1.15592
1529035200,1.15593,1.15700,1.15593,1.15690
1529038800,1.15690,1.15700,1.15620,1.15660
1529042400,1.15660,1.15676,1.15614,1.15638
1529046000,1.15638,1.15703,1.15638,1.15703
1529049600,1.15703,1.15756,1.15595,1.15616
1529053200,1.15616,1.15718,1.15462,1.15687
1529056800,1.15687,1.15925,1.15430,1.15894
1529060400,1.15893,1.16002,1.15836,1.15919
1529064000,1.15919,1.16153,1.15863,1.16027
1529067600,1.16027,1.16067,1.15590,1.15946
1529071200,1.15946,1.15996,1.15818,1.15880
1529074800,1.15880,1.16111,1.15843,1.16031
