time,open,high,low,close
1527876000,1.33299,1.33601,1.33272,1.33561
1527879600,1.33561,1.33617,1.33440,1.33471
1527883200,1.33471,1.33515,1.33382,1.33413
1527886800,1.33414,1.33498,1.33413,1.33459
1527890400,1.33459,1.33504,1.33437,1.33485
1527894000,1.33485,1.33540,1.33449,1.33474
1528070400,1.33320,1.33409,1.33269,1.33404
1528074000,1.33426,1.33504,1.33391,1.33503
1528077600,1.33503,1.33540,1.33493,1.33526
1528081200,1.33526,1.33694,1.33519,1.33667
1528084800,1.33667,1.33748,1.33617,1.33742
1528088400,1.33742,1.33765,1.33682,1.33699
1528092000,1.33698,1.33768,1.33687,1.33737
1528095600,1.33737,1.33740,1.33676,1.33710
1528099200,1.33710,1.33725,1.33653,1.33669
1528102800,1.33669,1.33740,1.33595,1.33600
1528106400,1.33602,1.33771,1.33527,1.33577
1528110000,1.33577,1.33747,1.33460,1.33661
1528113600,1.33661,1.33981,1.33630,1.33876
1528117200,1.33876,1.33944,1.33736,1.33859
1528120800,1.33859,1.33874,1.33747,1.33868
1528124400,1.33868,1.33921,1.33769,1.33790
1528128000,1.33790,1.33853,1.33536,1.33610
1528131600,1.33611,1.33644,1.33280,1.33315
1528135200,1.33315,1.33381,1.32944,1.33140
1528138800,1.33140,1.33169,1.33023,1.33126
1528142400,1.33127,1.33292,1.33075,1.33290
1528146000,1.33290,1.33309,1.33143,1.33158
1528149600,1.33158,1.33170,1.33097,1.33128
1528153200,1.33128,1.33150,1.33104,1.33137
1528156800,1.33116,1.33167,1.33112,1.33141
1528160400,1.33141,1.33168,1.33130,1.33145
1528164000,1.33138,1.33155,1.33109,1.33154
1528167600,1.33154,1.33198,1.33124,1.33133
1528171200,1.33134,1.33162,1.33048,1.33140
1528174800,1.33140,1.33147,1.33029,1.33072
1528178400,1.33072,1.33137,1.33067,1.33102
1528182000,1.33102,1.33116,1.33060,1.33079
1528185600,1.33079,1.33144,1.33018,1.33141
1528189200,1.33141,1.33282,1.33101,1.33271
1528192800,1.33271,1.33327,1.33118,1.33218
1528196400,1.33218,1.33811,1.33177,1.33741
1528200000,1.33743,1.33844,1.33658,1.33804
1528203600,1.33804,1.33924,1.33539,1.33583
1528207200,1.33583,1.33689,1.33512,1.33576
1528210800,1.33576,1.33731,1.33448,1.33724
1528214400,1.33724,1.33727,1.33486,1.33557
1528218000,1.33528,1.33575,1.33330,1.33401
1528221600,1.33402,1.33626,1.33402,1.33587
1528225200,1.33587,1.33879,1.33568,1.33812
1528228800,1.33812,1.34085,1.33812,1.34039
1528232400,1.34039,1.34067,1.33919,1.33924
1528236000,1.33924,1.33939,1.33845,1.33895
1528239600,1.33895,1.33964,1.33853,1.33856
1528243200,1.33784,1.34037,1.33753,1.34000
1528246800,1.34000,1.34026,1.33979,1.34016
1528250400,1.34017,1.34163,1.33986,1.34062
1528254000,1.34062,1.34121,1.34029,1.34082
1528257600,1.34082,1.34164,1.34058,1.34088
1528261200,1.34088,1.34109,1.34049,1.34070
1528264800,1.34070,1.34095,1.34037,1.34091
1528268400,1.34091,1.34091,1.33995,1.33997
1528272000,1.33997,1.34110,1.33988,1.34080
1528275600,1.34080,1.34263,1.34016,1.34031
1528279200,1.34030,1.34259,1.33968,1.34210
1528282800,1.34210,1.34290,1.34061,1.34091
1528286400,1.34091,1.34380,1.34091,1.34279
1528290000,1.34279,1.34333,1.34156,1.34164
1528293600,1.34164,1.34300,1.34129,1.34197
1528297200,1.34197,1.34302,1.34134,1.34161
1528300800,1.34160,1.34428,1.34148,1.34352
1528304400,1.34352,1.34399,1.34222,1.34274
1528308000,1.34274,1.34323,1.34133,1.34279
1528311600,1.34277,1.34299,1.34064,1.34105
1528315200,1.34106,1.34107,1.34002,1.34043
