time,open,high,low,close
1514422800,12974.64,12994.27,12823.14,12852.14
1514509200,12881.14,12889.64,12838.77,12852.14
1514768400,12875.64,12939.14,12732.64,12757.64
1514854800,12758.64,12917.64,12757.14,12872.64
1514941200,12898.64,13017.14,12881.14,12992.64
1515027600,13103.64,13202.14,13085.64,13163.64
1515114000,13292.14,13338.64,13269.64,13331.64
1515286800,13364.64,13408.14,13338.14,13361.64
1515373200,13362.14,13408.52,13327.64,13387.14
1515459600,13387.64,13420.14,13318.14,13323.14
1515546000,13323.64,13329.14,13218.14,13264.64
1515632400,13264.64,13292.64,13142.64,13207.14
1515718800,13206.64,13257.64,13156.64,13231.14
1515891600,13256.64,13260.52,13181.14,13206.64
1515978000,13208.14,13293.14,13163.14,13283.14
1516064400,13282.64,13344.64,13125.14,13211.64
1516150800,13212.14,13250.14,13127.14,13232.14
1516237200,13231.14,13407.64,13196.14,13397.14
1516323600,13396.64,13468.14,13383.64,13458.14
1516496400,13452.64,13459.64,13404.14,13416.64
1516582800,13416.14,13594.14,13409.14,13575.64
1516669200,13576.14,13583.14,13511.64,13542.14
1516755600,13542.64,13569.64,13343.64,13389.64
1516842000,13388.64,13438.64,13215.64,13299.14
1516928400,13298.64,13384.14,13265.64,13382.64
1517101200,13365.64,13368.02,13266.64,13288.14
1517187600,13287.64,13351.14,13204.64,13296.64
1517274000,13296.14,13296.14,13166.14,13232.14
1517360400,13232.64,13292.64,13154.14,13199.14
1517446800,13198.64,13241.14,12814.64,12823.14
1517533200,12824.64,12875.14,12687.14,12702.64
1517706000,12595.64,12609.64,12523.64,12597.64
1517792400,12706.14,12740.64,11932.64,12402.14
1517878800,12401.64,12640.64,12315.64,12588.64
1517965200,12452.14,12642.64,12410.14,12453.64
1518051600,12452.64,12490.64,12123.64,12216.14
1518138000,12215.14,12253.14,11900.14,12209.14
1518310800,12243.14,12372.14,12211.14,12350.14
1518397200,12349.14,12362.14,12243.14,12335.14
1518483600,12254.14,12321.14,12175.14,12271.14
1518570000,12270.14,12475.14,12065.14,12450.14
1518656400,12451.14,12474.14,12266.14,12462.14
1518742800,12461.14,12528.14,12363.14,12479.64
1518915600,12504.14,12539.14,12432.14,12450.14
1519002000,12449.14,12463.14,12353.14,12362.14
1519088400,12363.14,12499.14,12326.14,12388.14
1519174800,12389.14,12505.14,12274.14,12348.14
1519261200,12349.14,12531.14,12327.14,12475.14
1519347600,12474.14,12546.14,12424.14,12538.14
1519520400,12570.14,12597.14,12527.14,12536.14
1519606800,12535.14,12605.14,12476.14,12594.14
1519693200,12520.14,12540.14,12388.14,12470.14
1519779600,12471.14,12513.14,12233.14,12242.14
1519866000,12241.14,12281.14,11935.14,11939.14
1519952400,11940.14,12005.14,11870.14,11997.14
1520125200,11964.14,12028.14,11725.14,12007.14
1520211600,12008.14,12269.14,11942.14,12232.14
1520298000,12231.14,12249.14,11966.14,12083.14
1520384400,12082.14,12274.14,12054.14,12186.14
1520470800,12187.14,12381.14,12172.14,12297.14
1520557200,12298.14,12408.14,12281.14,12369.64
1520730000,12367.14,12400.14,12366.14,12393.14
1520816400,12415.14,12446.14,12357.14,12434.14
1520902800,12435.14,12459.14,12114.14,12153.14
1520989200,12234.14,12337.14,12210.14,12302.14
1521075600,12303.14,12417.64,12244.14,12412.64
1521162000,12411.64,12459.89,12342.14,12401.64
1521334800,12355.02,12376.14,12231.64,12252.89
1521421200,12252.64,12327.14,12162.14,12241.14
1521507600,12240.64,12374.14,12192.64,12312.64
1521594000,12313.14,12341.64,12147.52,12261.64
1521680400,12262.39,12262.64,11898.14,11914.89
1521766800,11914.64,12006.64,11759.14,11788.14
1521939600,11776.54,11854.14,11765.94,11851.84
1522029600,11938.14,12028.14,11705.89,11988.64
1522116000,11989.14,12045.64,11730.52,11789.14
1522202400,11788.14,12026.14,11787.64,12001.39
1522288800,12000.64,12166.39,11998.64,12125.14
1522634400,12079.52,12079.52,11913.14,11930.64
1522720800,11931.14,12299.02,11836.14,11878.39
1522807200,11878.64,12196.14,11793.39,12162.14
1522893600,12162.14,12330.64,12136.14,12229.14
1522980000,12228.64,12297.14,12152.64,12190.39
1523152800,12211.64,12274.14,12196.24,12267.04
1523239200,12360.14,12374.14,12207.64,12262.04
1523325600,12382.14,12419.64,12334.14,12364.14
1523412000,12364.64,12380.64,12259.64,12286.14
1523498400,12285.89,12490.64,12272.52,12476.64
1523584800,12476.14,12532.64,12402.14,12461.64
1523757600,12545.94,12565.94,12439.14,12458.14
1523844000,12458.14,12510.64,12383.14,12504.64
1523930400,12504.39,12649.14,12483.64,12605.64
1524016800,12605.14,12627.64,12555.14,12574.14
1524103200,12573.64,12653.02,12534.14,12568.64
1524189600,12567.64,12596.14,12498.64,12539.14
1524362400,12595.44,12654.52,12472.64,12512.14
1524448800,12512.64,12658.39,12505.64,12643.66
1524535200,12644.16,12644.66,12334.54,12368.66
1524621600,12369.16,12495.26,12321.66,12486.76
1524708000,12434.41,12620.54,12406.66,12604.66
1524794400,12605.16,12638.66,12526.66,12597.16
1524967200,12619.56,12641.36,12591.26,12614.66
1525053600,12614.66,12632.66,12562.66,12574.16
1525140000,12644.54,12783.66,12603.66,12776.91
1525226400,12776.66,12842.16,12742.66,12760.96
1525312800,12783.66,12808.16,12677.66,12735.16
1525399200,12735.16,12861.66,12717.16,12855.66
1525572000,12847.85,12905.45,12817.65,12865.15
1525658400,12864.65,12971.15,12859.65,12886.65
1525744800,12887.15,12951.15,12859.65,12944.65
1525831200,12945.15,13034.15,12894.65,13027.65
1525917600,13027.65,13099.53,12927.65,12986.65
1526004000,12986.15,13012.65,12962.90,12993.41
1526176800,13025.85,13049.53,12951.40,12975.65
1526263200,12975.15,13001.53,12925.65,12964.40
1526349600,12964.15,13013.03,12917.65,12987.15
1526436000,12986.90,13044.53,12960.90,13008.65
1526522400,13008.65,13140.53,13006.15,13094.15
1526608800,13093.65,13125.15,13046.65,13078.90
1526781600,13073.65,13073.65,13073.65,13073.65
1526868000,13073.65,13163.53,13056.65,13095.15
1526954400,13096.15,13205.15,13072.15,13160.25
1527040800,12975.15,13015.53,12920.65,13002.65
1527127200,13002.15,13005.15,12796.65,12886.55
1527213600,12972.15,12998.65,12849.15,12920.90
1527386400,12964.35,13035.90,12931.53,12949.15
1527472800,12948.65,12962.15,12604.65,12651.90
1527559200,12652.40,12744.90,12534.53,12688.15
1527645600,12688.65,12829.15,12657.15,12756.65
1527732000,12756.15,12759.65,12483.03,12703.65
1527818400,12704.15,12796.15,12685.15,12741.40
1545008400,10896.90,10918.90,10671.90,10717.90
1545094800,10726.80,10843.30,10687.80,10755.30
1545181200,10762.70,10833.40,10603.20,10656.70
1545267600,10630.10,10687.60,10484.40,10532.60
1545354000,10532.60,10659.90,10496.40,10525.90
1545872400,10660.40,10678.90,10278.90,10476.00
1545958800,10444.40,10618.70,10416.90,10580.20
1546390800,10497.60,10641.10,10387.60,10638.60
1546477200,10491.90,10540.40,10399.90,10423.40
1546563600,10423.40,10835.30,10423.40,10807.80
1546822800,10830.00,10846.00,10680.20,10742.00
1546909200,10753.40,10911.60,10740.90,10845.90
1546995600,10909.20,10962.00,10839.20,10890.20
1547082000,10832.60,10914.60,10785.90,10904.60
1547168400,10944.00,10963.50,10829.40,10896.40
