time,open,high,low,close
1514462400,7567.65,7649.15,7562.65,7647.15
1514505600,7586.15,7649.15,7583.65,7647.15
1514764800,7637.15,7647.65,7615.65,7646.65
1514808000,7637.15,7642.65,7605.65,7616.65
1514851200,7617.15,7618.15,7569.65,7597.65
1514894400,7597.65,7609.65,7585.65,7593.15
1514937600,7593.15,7638.15,7586.65,7638.15
1514980800,7638.15,7642.65,7622.15,7625.15
1515024000,7624.65,7644.15,7612.65,7636.15
1515067200,7636.15,7659.03,7630.40,7657.03
1515110400,7657.78,7670.03,7640.03,7661.40
1515283200,7673.40,7680.40,7657.65,7657.65
1515369600,7668.78,7670.03,7631.03,7656.40
1515412800,7655.40,7670.03,7647.28,7661.65
1515456000,7661.65,7675.15,7656.15,7673.15
1515499200,7670.15,7696.15,7658.15,7694.65
1515542400,7694.15,7697.65,7656.65,7676.65
1515585600,7676.65,7704.65,7674.65,7690.65
1515628800,7690.65,7714.15,7677.65,7712.65
1515672000,7712.65,7716.65,7703.15,7716.15
1515715200,7715.65,7734.15,7692.15,7716.65
1515888000,7743.15,7743.15,7724.65,7729.15
1515974400,7713.65,7719.15,7703.65,7711.15
1516017600,7707.15,7733.65,7704.15,7727.15
1516060800,7727.65,7732.15,7655.65,7666.15
1516104000,7672.65,7690.65,7669.15,7674.65
1516147200,7675.15,7689.15,7652.15,7670.65
1516190400,7670.65,7684.65,7645.65,7647.65
1516233600,7647.15,7659.65,7627.65,7656.65
1516276800,7648.85,7657.65,7634.15,7656.15
1516320000,7656.15,7683.65,7651.15,7683.15
1516492800,7666.15,7666.15,7654.65,7659.15
1516536000,7666.15,7683.65,7654.65,7679.15
1516579200,7678.65,7682.65,7646.65,7677.65
1516622400,7677.65,7690.65,7654.65,7683.15
1516665600,7683.15,7690.15,7659.65,7681.65
1516752000,7640.15,7664.15,7565.65,7595.65
1516795200,7594.15,7599.65,7572.15,7594.65
1516838400,7594.65,7606.15,7552.15,7581.65
1516881600,7580.15,7594.65,7566.65,7586.15
1516924800,7585.65,7640.15,7585.65,7639.65
1517097600,7644.35,7655.65,7641.15,7641.15
1517184000,7610.15,7633.65,7593.65,7599.15
1517227200,7602.85,7604.65,7556.15,7584.15
1517270400,7583.65,7584.15,7518.65,7523.15
1517356800,7540.65,7541.15,7462.15,7472.15
1517400000,7480.15,7506.15,7472.15,7472.65
1517443200,7472.15,7486.15,7414.15,7428.15
1517486400,7422.15,7435.65,7407.15,7410.65
1517529600,7410.15,7423.65,7334.15,7336.15
1517702400,7294.40,7302.15,7251.40,7297.15
1517745600,7294.40,7330.65,7291.65,7305.65
1517788800,7306.15,7310.15,7020.40,7023.40
1517832000,7040.40,7163.65,6988.15,7132.65
1517875200,7132.65,7245.65,7071.65,7193.40
1517961600,7110.65,7250.03,7110.15,7166.40
1518004800,7159.40,7199.03,7151.40,7174.03
1518048000,7173.03,7179.03,7032.03,7084.40
1518091200,7079.40,7092.03,7052.40,7080.03
1518134400,7081.03,7108.03,6918.03,7067.15
1518307200,7084.40,7117.40,7076.15,7104.40
1518350400,7084.40,7138.03,7076.03,7124.03
1518393600,7123.03,7156.40,7101.03,7144.40
1518480000,7111.03,7148.40,7101.03,7144.40
1518523200,7142.40,7171.40,7139.40,7155.03
1518566400,7156.03,7198.40,7083.03,7189.40
1518652800,7226.03,7234.40,7168.03,7228.40
1518696000,7226.40,7260.03,7216.40,7254.03
1518739200,7255.03,7269.03,7234.03,7248.65
1518912000,7267.40,7292.40,7260.40,7263.40
1518955200,7267.40,7272.40,7246.03,7252.03
1518998400,7251.03,7255.03,7202.03,7214.15
1519041600,7214.40,7222.40,7173.03,7174.03
1519084800,7173.03,7217.03,7165.03,7185.40
1519128000,7184.40,7208.40,7183.03,7192.03
1519171200,7193.03,7262.03,7179.40,7195.40
1519214400,7197.40,7208.03,7174.03,7191.03
1519257600,7192.03,7247.03,7169.03,7233.40
