time,open,high,low,close
1514505600,2684.50,2697.75,2667.50,2667.75
1514851200,2674.75,2695.50,2674.25,2693.35
1514937600,2693.25,2713.75,2692.00,2708.85
1515024000,2710.00,2728.50,2708.25,2724.35
1515110400,2724.75,2742.75,2723.50,2742.00
1515369600,2741.75,2748.00,2736.25,2746.55
1515456000,2746.05,2759.50,2742.50,2749.75
1515542400,2749.13,2751.50,2736.25,2750.50
1515628800,2749.50,2770.00,2747.50,2768.75
1515715200,2768.75,2789.50,2766.50,2789.00
1515974400,2790.25,2796.75,2789.88,2794.25
1516060800,2794.50,2808.25,2769.00,2782.50
1516147200,2782.00,2809.00,2778.75,2803.25
1516233600,2803.00,2807.50,2793.50,2796.50
1516320000,2796.75,2814.50,2791.50,2813.00
1516579200,2803.88,2837.75,2801.75,2835.25
1516665600,2835.13,2844.25,2828.50,2838.25
1516752000,2837.50,2854.75,2825.25,2840.50
1516838400,2839.25,2853.50,2830.50,2842.00
1516924800,2841.75,2875.50,2841.00,2874.25
1517184000,2874.25,2878.00,2851.25,2852.75
1517270400,2853.25,2857.50,2818.25,2822.75
1517356800,2822.75,2839.25,2812.75,2826.00
1517443200,2829.38,2837.00,2809.25,2823.50
1517529600,2827.00,2830.50,2755.00,2756.50
1517788800,2755.25,2762.50,2595.50,2617.75
1517875200,2621.00,2699.00,2529.25,2683.75
1517961600,2685.63,2726.23,2660.25,2667.40
1518048000,2664.10,2685.98,2576.73,2595.66
1518134400,2593.60,2636.98,2529.98,2620.65
1518393600,2625.10,2671.23,2619.73,2651.90
1518480000,2652.30,2666.98,2633.98,2662.41
1518566400,2662.35,2701.23,2626.73,2695.65
1518652800,2694.85,2736.35,2688.23,2734.15
1518739200,2733.85,2754.23,2721.98,2735.40
1518998400,2735.85,2747.23,2719.23,2728.74
1519084800,2728.35,2737.23,2705.48,2714.40
1519171200,2714.35,2747.23,2693.23,2697.90
1519257600,2698.60,2730.48,2681.85,2713.15
1519344000,2712.60,2749.85,2709.48,2745.15
1519603200,2751.35,2785.60,2742.48,2783.40
1519689600,2783.10,2789.23,2741.73,2746.65
1519776000,2746.10,2761.48,2711.73,2718.15
1519862400,2718.60,2730.48,2658.23,2679.15
1519948800,2678.35,2695.48,2646.73,2689.90
1520208000,2682.85,2727.23,2663.48,2718.15
1520294400,2718.85,2733.73,2709.98,2723.40
1520380800,2694.35,2729.73,2681.23,2722.15
1520467200,2722.10,2739.98,2719.73,2737.65
1520553600,2736.85,2786.48,2730.98,2782.90
1520812800,2783.75,2799.98,2778.73,2782.90
1520899200,2782.25,2801.98,2757.98,2763.15
1520985600,2766.25,2782.98,2747.98,2754.65
1521072000,2754.35,2766.85,2744.73,2757.90
1521158400,2757.60,2765.73,2749.98,2754.90
1521417600,2755.00,2755.48,2696.73,2722.15
1521504000,2721.00,2728.48,2712.48,2723.15
1521590400,2723.25,2743.23,2712.23,2717.50
1521676800,2718.10,2725.73,2641.50,2646.50
1521763200,2645.25,2658.25,2585.73,2596.25
1522022400,2594.35,2662.25,2590.73,2659.25
1522108800,2659.25,2679.25,2595.73,2612.00
1522195200,2612.25,2633.25,2592.73,2607.25
1522281600,2610.00,2659.25,2600.73,2636.25
1522627200,2633.75,2641.00,2551.50,2582.50
1522713600,2581.10,2618.25,2573.00,2612.25
1522800000,2611.60,2649.25,2559.25,2644.50
1522886400,2645.25,2671.75,2643.75,2661.75
1522972800,2662.25,2663.50,2584.25,2604.50
1523232000,2607.25,2653.50,2607.25,2617.50
1523318400,2617.25,2665.50,2612.00,2653.50
1523404800,2654.25,2660.75,2625.75,2642.25
1523491200,2642.25,2674.50,2639.50,2664.75
1523577600,2662.25,2680.00,2644.50,2658.75
1523836800,2674.25,2686.50,2660.25,2679.00
1523923200,2679.50,2713.25,2678.50,2705.00
1524009600,2704.00,2718.00,2703.50,2710.00
1524096000,2711.25,2712.75,2681.25,2692.50
1524182400,2692.75,2697.75,2659.50,2670.75
1524441600,2681.25,2683.00,2657.00,2671.50
1524528000,2671.75,2688.27,2615.77,2635.27
1524614400,2635.02,2647.77,2611.02,2645.77
1524700800,2647.77,2677.27,2639.27,2672.52
1524787200,2674.52,2675.77,2657.52,2671.27
1525046400,2670.15,2681.77,2644.77,2644.77
1525132800,2646.27,2657.02,2623.02,2655.02
1525219200,2654.77,2658.02,2624.02,2625.02
1525305600,2626.27,2635.77,2591.02,2631.27
1525392000,2632.02,2669.02,2612.02,2663.52
1525651200,2662.25,2681.00,2661.00,2668.00
1525737600,2668.25,2674.00,2652.00,2669.75
1525824000,2669.75,2699.50,2666.25,2695.50
1525910400,2696.25,2724.50,2692.50,2716.00
1525996800,2716.50,2732.00,2716.00,2727.77
1526256000,2731.50,2740.75,2724.00,2728.50
1526342400,2728.00,2730.75,2700.25,2709.50
1526428800,2710.25,2727.50,2704.25,2721.50
1526515200,2721.75,2731.50,2710.50,2718.25
1526601600,2718.50,2726.50,2708.50,2711.75
1526860800,2729.75,2738.75,2724.25,2732.00
1526947200,2731.25,2741.25,2721.25,2724.75
1527033600,2724.25,2732.50,2704.25,2729.75
1527120000,2729.25,2732.75,2705.50,2727.00
1527206400,2726.50,2737.25,2713.25,2720.50
1527465600,2728.75,2731.50,2718.00,2722.63
1527552000,2721.75,2723.75,2674.75,2692.50
1527638400,2693.00,2728.75,2685.50,2722.75
1527724800,2720.00,2727.75,2699.25,2707.00
1527811200,2707.00,2736.50,2705.50,2734.50
1528070400,2729.75,2749.00,2728.75,2746.00
1528156800,2745.50,2752.75,2738.75,2751.00
1528243200,2751.00,2774.25,2747.75,2773.00
1528329600,2773.00,2779.25,2759.75,2772.50
1528416000,2770.75,2779.25,2751.75,2778.75
1528675200,2771.75,2790.00,2770.25,2781.75
1528761600,2781.00,2789.25,2778.00,2787.75
1528848000,2792.00,2795.50,2778.25,2779.25
1528934400,2778.25,2793.50,2771.75,2788.00
1529020800,2787.50,2788.00,2765.25,2781.00
1529280000,2779.75,2786.50,2761.00,2777.75
1529366400,2778.50,2779.50,2735.50,2765.50
1529452800,2765.50,2778.00,2756.75,2770.50
1529539200,2771.00,2784.75,2746.75,2750.75
1529625600,2750.00,2768.00,2748.75,2756.25
1529884800,2744.75,2749.25,2700.25,2721.50
1529971200,2721.75,2734.75,2714.50,2724.00
1530057600,2726.25,2747.50,2700.75,2705.00
1530144000,2704.75,2725.75,2692.75,2720.25
1530230400,2719.75,2745.00,2716.50,2720.50
1530489600,2722.50,2728.00,2698.25,2726.25
1530576000,2726.50,2741.00,2711.75,2712.50
1530662400,2712.25,2723.75,2710.50,2721.13
1530748800,2721.25,2739.25,2712.25,2738.00
1530835200,2736.25,2766.00,2730.75,2762.25
1531094400,2764.00,2787.50,2763.00,2787.00
1531180800,2787.25,2797.25,2780.50,2785.25
1531267200,2781.00,2787.25,2765.50,2775.25
1531353600,2776.50,2800.50,2773.50,2797.75
1531440000,2798.25,2807.00,2793.00,2803.75
1531699200,2804.13,2808.50,2794.75,2796.00
1531785600,2795.50,2815.24,2789.49,2812.74
1531872000,2812.62,2817.74,2806.74,2814.49
1531958400,2814.24,2817.49,2799.99,2804.49
1532044800,2805.12,2810.00,2792.75,2802.99
1532304000,2805.24,2811.99,2792.24,2810.74
1532390400,2810.48,2830.74,2809.98,2818.74
1532476800,2818.73,2848.99,2813.73,2844.74
1532563200,2834.73,2845.98,2832.98,2839.48
1532649600,2839.97,2846.47,2808.48,2817.48
1532908800,2815.34,2821.23,2798.23,2804.73
1532995200,2805.47,2827.23,2802.47,2825.73
1533081600,2824.22,2825.23,2805.23,2813.48
1533168000,2813.47,2830.73,2790.72,2829.98
1533254400,2830.22,2840.98,2824.47,2840.35
1533513600,2841.34,2852.72,2834.72,2848.72
1533600000,2848.97,2863.22,2847.97,2860.22
1533686400,2860.22,2861.97,2852.22,2852.97
1533772800,2852.72,2862.22,2850.22,2851.72
1533859200,2851.97,2852.22,2825.72,2838.72
1534118400,2834.72,2843.22,2819.72,2825.72
1534204800,2825.97,2842.97,2825.47,2841.47
1534291200,2841.72,2842.47,2802.72,2822.22
1534377600,2821.72,2851.22,2816.97,2843.47
1534464000,2842.97,2856.72,2834.72,2852.72
1534723200,2852.47,2860.22,2849.72,2856.72
