time,open,high,low,close
1528887600,110.628,110.716,110.614,110.621
1528891200,110.621,110.652,110.581,110.583
1528894800,110.583,110.589,110.520,110.547
1528898400,110.547,110.574,110.515,110.551
1528902000,110.551,110.551,110.462,110.477
1528905600,110.477,110.481,110.354,110.401
1528909200,110.400,110.444,110.368,110.420
1528912800,110.420,110.430,110.340,110.414
1528916400,110.414,110.457,110.394,110.399
1528920000,110.399,110.441,110.366,110.416
1528923600,110.416,110.845,110.416,110.540
1528927200,110.538,110.586,110.270,110.288
1528930800,110.288,110.392,110.288,110.331
1528934400,110.315,110.364,110.245,110.249
1528938000,110.249,110.263,110.082,110.194
1528941600,110.194,110.261,110.179,110.236
1528945200,110.237,110.318,110.101,110.298
1528948800,110.298,110.349,110.183,110.272
1528952400,110.272,110.327,110.207,110.212
1528956000,110.212,110.257,110.174,110.238
1528959600,110.238,110.242,110.159,110.191
1528963200,110.191,110.193,110.019,110.024
1528966800,110.024,110.061,109.962,110.044
1528970400,110.044,110.079,109.917,109.928
1528974000,109.926,110.030,109.918,109.950
1528977600,109.950,109.987,109.923,109.939
1528981200,109.939,110.026,109.939,109.998
1528984800,109.997,110.143,109.975,110.112
1528988400,110.113,110.226,110.055,110.169
1528992000,110.169,110.383,110.162,110.345
1528995600,110.345,110.452,110.246,110.246
1528999200,110.246,110.465,110.246,110.441
1529002800,110.441,110.493,110.392,110.438
1529006400,110.438,110.626,110.412,110.565
1529010000,110.565,110.692,110.559,110.572
1529013600,110.570,110.616,110.552,110.604
1529017200,110.603,110.689,110.583,110.619
1529020800,110.612,110.692,110.575,110.659
1529024400,110.659,110.673,110.514,110.571
1529028000,110.571,110.688,110.563,110.636
1529031600,110.637,110.670,110.491,110.564
1529035200,110.564,110.580,110.453,110.554
1529038800,110.554,110.795,110.543,110.693
1529042400,110.693,110.754,110.649,110.704
1529046000,110.704,110.760,110.700,110.749
1529049600,110.749,110.892,110.745,110.876
1529053200,110.876,110.903,110.734,110.758
1529056800,110.758,110.836,110.481,110.516
1529060400,110.515,110.562,110.383,110.506
1529064000,110.506,110.556,110.463,110.549
1529067600,110.549,110.653,110.526,110.632
1529071200,110.632,110.730,110.619,110.705
1529074800,110.705,110.719,110.435,110.492
1529078400,110.492,110.650,110.412,110.639
1529082000,110.639,110.649,110.452,110.486
1529085600,110.486,110.597,110.461,110.586
1529089200,110.586,110.650,110.533,110.590
1529092800,110.590,110.599,110.536,110.563
1529096400,110.563,110.626,110.532,110.607
1529100000,110.606,110.621,110.580,110.608
1529103600,110.608,110.678,110.596,110.659
1529280000,110.683,110.733,110.658,110.666
1529283600,110.664,110.672,110.606,110.612
1529287200,110.614,110.665,110.577,110.640
1529290800,110.640,110.666,110.468,110.552
1529294400,110.552,110.552,110.298,110.308
1529298000,110.308,110.445,110.308,110.427
1529301600,110.427,110.446,110.390,110.401
1529305200,110.401,110.540,110.400,110.500
1529308800,110.500,110.522,110.441,110.492
1529312400,110.492,110.592,110.455,110.553
1529316000,110.553,110.615,110.453,110.471
1529319600,110.471,110.553,110.463,110.528
1529323200,110.529,110.578,110.523,110.546
1529326800,110.546,110.569,110.469,110.476
1529330400,110.476,110.511,110.421,110.454
1529334000,110.454,110.499,110.417,110.466
1529337600,110.466,110.523,110.427,110.431
1529341200,110.431,110.481,110.376,110.456
1529344800,110.456,110.503,110.431,110.449
1529348400,110.449,110.476,110.436,110.462
1529352000,110.462,110.523,110.462,110.492
