time,open,high,low,close
1519261200,1324.39,1327.06,1324.13,1326.79
1519264800,1326.79,1326.83,1324.77,1326.21
1519268400,1326.21,1326.28,1323.13,1324.79
1519272000,1324.80,1325.15,1322.56,1323.76
1519275600,1323.75,1324.55,1323.50,1323.91
1519279200,1323.90,1324.37,1322.60,1323.72
1519282800,1323.73,1324.75,1323.47,1323.51
1519286400,1323.50,1324.22,1321.10,1321.66
1519290000,1321.67,1322.49,1320.93,1321.92
1519293600,1321.93,1322.81,1321.10,1321.92
1519297200,1321.89,1323.62,1321.45,1322.83
1519300800,1322.84,1324.17,1322.53,1323.56
1519304400,1323.58,1323.97,1322.13,1323.23
1519308000,1323.23,1324.69,1322.09,1323.82
1519311600,1323.89,1327.03,1323.12,1326.99
1519315200,1326.98,1328.43,1325.77,1327.30
1519318800,1327.23,1331.26,1327.22,1328.31
1519322400,1328.33,1329.91,1328.03,1329.32
1519326000,1329.32,1331.92,1328.57,1329.99
1519329600,1329.99,1332.07,1329.90,1330.05
1519333200,1330.03,1331.37,1329.74,1330.67
1519336800,1330.69,1331.65,1330.23,1331.39
1519340400,1331.38,1331.86,1330.69,1331.85
1519344000,1331.15,1332.08,1325.71,1328.84
1519347600,1331.78,1332.13,1330.32,1330.50
1519351200,1330.49,1331.12,1329.20,1330.23
1519354800,1330.19,1331.11,1328.68,1330.81
1519358400,1330.86,1330.96,1329.08,1329.29
1519362000,1329.28,1329.57,1328.02,1328.46
1519365600,1328.49,1328.84,1326.68,1327.11
1519369200,1327.12,1327.93,1326.21,1327.68
1519372800,1327.68,1328.63,1326.27,1326.64
1519376400,1326.62,1327.42,1325.78,1327.30
1519380000,1327.32,1329.78,1327.17,1329.53
1519383600,1329.54,1329.74,1327.63,1327.90
1519387200,1327.90,1329.55,1327.45,1328.77
1519390800,1328.78,1330.72,1327.86,1330.62
1519394400,1330.63,1331.62,1330.04,1330.32
1519398000,1330.34,1331.04,1328.24,1329.15
1519401600,1329.16,1330.39,1326.73,1328.32
1519405200,1328.31,1329.57,1327.46,1328.94
1519408800,1328.94,1329.27,1327.36,1328.73
1519412400,1328.73,1330.55,1328.50,1330.15
1519416000,1330.14,1330.24,1328.08,1328.28
1519419600,1328.29,1329.72,1328.27,1329.08
1519423200,1329.08,1330.22,1328.88,1329.32
1519426800,1329.31,1329.37,1328.63,1328.78
1519603200,1327.63,1340.93,1326.58,1332.92
1519606800,1329.83,1329.83,1326.65,1327.03
1519610400,1327.03,1328.79,1327.01,1328.46
1519614000,1328.40,1335.21,1328.40,1333.70
1519617600,1333.73,1337.97,1333.72,1336.74
1519621200,1336.76,1337.69,1336.16,1336.82
1519624800,1336.87,1337.45,1336.44,1336.82
1519628400,1336.80,1339.75,1336.34,1339.72
1519632000,1339.73,1340.14,1338.77,1339.61
1519635600,1339.60,1341.00,1338.79,1339.35
1519639200,1339.37,1339.79,1337.94,1338.10
1519642800,1338.09,1340.34,1337.85,1340.13
1519646400,1340.21,1340.74,1338.94,1339.34
1519650000,1339.35,1339.49,1337.55,1337.93
1519653600,1337.93,1338.60,1336.25,1336.83
1519657200,1336.75,1338.01,1335.67,1336.31
1519660800,1336.28,1336.39,1330.42,1333.88
1519664400,1334.02,1334.70,1331.36,1332.44
1519668000,1332.48,1333.30,1330.72,1330.94
1519671600,1330.94,1332.47,1330.10,1332.41
1519675200,1332.38,1332.60,1330.78,1331.58
1519678800,1331.60,1333.04,1331.18,1332.78
1519682400,1332.80,1333.58,1332.12,1333.20
1519686000,1333.20,1333.54,1332.90,1332.93
1519689600,1332.57,1336.66,1313.43,1318.33
1519693200,1333.30,1333.30,1331.06,1332.19
1519696800,1332.19,1335.79,1331.82,1335.08
1519700400,1335.07,1336.70,1334.73,1335.72
1519704000,1335.71,1336.38,1334.12,1334.37
1519707600,1334.38,1334.55,1332.89,1333.16
1519711200,1333.22,1333.72,1331.71,1332.16
1519714800,1332.15,1333.79,1332.13,1333.05
1519718400,1333.04,1333.35,1331.33,1332.94
1519722000,1332.90,1334.56,1332.71,1333.74
1519725600,1333.81,1334.69,1332.71,1333.59
1519729200,1333.61,1333.91,1332.79,1333.69
1519732800,1333.71,1334.11,1332.10,1332.56
1519736400,1332.55,1333.27,1331.97,1332.39
1519740000,1332.30,1333.01,1332.01,1332.33
1519743600,1332.38,1332.38,1323.89,1328.05
1519747200,1328.04,1329.84,1325.86,1325.88
1519750800,1325.82,1326.36,1315.88,1318.03
1519754400,1318.03,1319.18,1314.82,1315.80
1519758000,1315.81,1316.92,1313.41,1315.50
1519761600,1315.50,1318.26,1314.95,1318.17
1519765200,1318.19,1318.78,1317.13,1317.75
1519768800,1317.75,1318.82,1317.43,1318.78
1519772400,1318.77,1318.77,1317.72,1318.29
1519776000,1317.37,1322.40,1315.91,1318.04
1519779600,1318.39,1318.94,1317.16,1317.47
1519783200,1317.40,1317.53,1315.59,1317.30
1519786800,1317.31,1318.95,1316.25,1317.59
1519790400,1317.59,1318.35,1316.81,1316.83
1519794000,1316.83,1318.36,1316.79,1317.41
1519797600,1317.42,1317.95,1316.90,1317.47
1519801200,1317.46,1318.06,1317.23,1317.93
1519804800,1317.94,1319.20,1317.32,1318.57
1519808400,1318.51,1319.38,1317.80,1318.19
1519812000,1318.21,1318.49,1316.92,1317.53
1519815600,1317.52,1321.31,1317.23,1321.04
1519819200,1321.09,1321.23,1319.62,1319.81
1519822800,1319.81,1320.34,1318.70,1319.45
1519826400,1319.44,1320.64,1319.34,1320.15
1519830000,1320.21,1320.21,1316.05,1317.50
