symbol,direction,entry_time_utc,entry_price,sl,tp,real_profit
GOLD,buy,2026-08-04 13:24:00,4087.89,4078.81,4098.46,-54.26
NAS100,buy,2026-08-04 13:21:00,29153.28,29102.33,29210.38,-57.97
US30,buy,2026-08-04 13:21:00,53921.64,53856.66,54006.04,-53.02
US30,sell,2026-08-04 13:30:00,53855.66,53937.66,53770.46,-59.49
GOLD,buy,2026-08-04 13:31:00,4082.52,4078.26,4087.69,-58.29
GOLD,sell,2026-08-04 13:32:00,4076.59,4082.64,4069.03,-54.18
SP500,buy,2026-08-04 13:21:00,7635.25,7626.85,7646.05,68.41
US30,buy,2026-08-04 13:31:00,53969.45,53823.85,54147.75,-64.65
NAS100,buy,2026-08-04 13:34:00,29249.98,29209.23,29298.00,65.38
NAS100,buy,2026-08-04 13:31:00,29185.48,29089.03,29299.24,65.86
US30,sell,2026-08-04 13:34:00,53868.85,53934.85,53790.65,67.62
NAS100,buy,2026-08-04 13:40:00,29279.48,29233.83,29323.08,58.30
GOLD,buy,2026-08-04 13:49:00,4092.84,4085.89,4100.96,-52.05
US30,sell,2026-08-04 13:47:00,53674.85,53761.85,53571.05,-56.02
DAX,buy,2026-08-04 13:21:01,26219.27,26184.54,26268.65,-54.32
NAS100,sell,2026-08-04 13:56:00,29344.03,29392.53,29297.99,-56.74
NAS100,buy,2026-08-04 13:46:00,29334.28,29291.33,29384.16,64.44
GOLD,sell,2026-08-04 14:18:00,4083.05,4087.04,4078.06,-57.48
US30,buy,2026-08-05 13:30:00,54383.30,54323.96,54455.24,247.13
NAS100,buy,2026-08-05 13:34:00,29878.58,29838.83,29921.70,-231.88
US30,buy,2026-08-05 13:31:00,54477.25,54377.96,54593.28,249.25
GOLD,buy,2026-08-05 13:32:00,4200.59,4194.83,4206.84,-218.00
SP500,sell,2026-08-05 13:37:00,7780.15,7788.30,7770.89,-242.43
NAS100,sell,2026-08-05 13:37:00,29810.23,29892.63,29712.53,-211.68
NAS100,buy,2026-08-05 13:39:00,29857.78,29819.83,29898.40,228.05
GOLD,buy,2026-08-05 13:40:00,4201.44,4193.08,4210.96,-213.87
US30,buy,2026-08-05 13:35:00,54547.25,54467.65,54655.85,-229.55
US30,sell,2026-08-05 13:46:00,54540.65,54617.76,54507.15,249.39
GOLD,sell,2026-08-05 13:46:00,4193.65,4199.42,4186.30,-195.10
US30,buy,2026-08-05 13:55:00,54641.75,54570.15,54721.15,237.78
SP500,sell,2026-08-05 13:46:00,7780.00,7791.40,7766.32,-211.62
NAS100,buy,2026-08-05 13:59:00,29935.58,29897.93,29982.06,-212.31
GOLD,buy,2026-08-05 13:53:00,4198.69,4191.33,4207.17,241.49
NAS100,sell,2026-08-05 14:01:00,29887.43,29930.73,29838.55,226.30
NAS100,sell,2026-08-05 13:51:00,29892.43,29946.43,29831.07,255.39
NAS100,sell,2026-08-05 14:02:00,29845.13,29892.83,29785.45,-209.94
GOLD,buy,2026-08-05 14:06:00,4217.86,4210.29,4225.09,243.36
GOLD,sell,2026-08-05 14:11:00,4232.67,4238.28,4234.06,-216.67
SP500,sell,2026-08-05 14:20:00,29855.63,29893.93,29808.51,260.07
NAS100,buy,2026-08-05 14:25:00,7782.16,7773.80,7791.70,-215.40
NAS100,buy,2026-08-05 14:25:00,29842.38,29799.33,29891.96,-211.95
GOLD,buy,2026-08-05 14:26:00,4236.82,4231.57,4242.37,-235.65
GOLD,buy,2026-08-05 14:19:00,4236.34,4230.01,4242.94,-234.77
NAS100,sell,2026-08-06 08:10:00,29342.03,29373.53,29305.55,-212.08
GOLD,sell,2026-08-06 13:06:00,4247.81,4252.59,4241.84,281.86
GOLD,sell,2026-08-06 13:10:00,4231.60,4241.48,4219.65,-205.41
GOLD,buy,2026-08-06 13:13:00,4239.21,4232.11,4247.55,237.53
GOLD,sell,2026-08-06 13:20:00,4244.54,4237.97,4251.80,229.12
NAS100,sell,2026-08-06 13:33:00,29143.33,29189.93,29087.05,-207.13
NAS100,buy,2026-08-06 13:35:00,29225.48,29152.43,29305.90,243.65
NAS100,sell,2026-08-06 13:43:00,29294.43,29328.83,29250.69,-209.65
NAS100,buy,2026-08-06 13:37:00,29297.88,29247.63,29358.04,240.89
NAS100,buy,2026-08-06 13:44:00,29334.58,29292.93,29378.58,229.90
NAS100,buy,2026-08-06 13:41:00,29319.38,29256.83,29388.90,245.40
NAS100,sell,2026-08-06 13:53:00,29397.43,29430.33,29356.59,-240.13
NAS100,sell,2026-08-06 14:04:00,29371.33,29419.43,29311.75,-213.29
NAS100,buy,2026-08-06 14:07:00,29429.78,29389.53,29475.48,241.86
GOLD,sell,2026-08-06 14:10:00,4265.19,4270.27,4258.72,-211.13
GOLD,buy,2026-08-06 13:41:00,4266.00,4258.56,4274.35,232.11
GOLD,buy,2026-08-06 14:12:00,4273.91,4267.40,4281.19,-215.53
NAS100,buy,2026-08-06 14:18:00,29528.28,29488.33,29574.90,-218.66
USDJPY,buy,2026-08-06 14:10:00,158.160,157.938,158.412,239.73
GOLD,sell,2026-08-07 08:37:00,4301.71,4309.03,4293.00,-214.76
GOLD,sell,2026-08-07 08:36:00,4308.25,4316.49,4298.65,-211.23
